Player,AVERAGE of Minutes,AVERAGE of Points,AVERAGE of Rebounds,AVERAGE of Assists,AVERAGE of Steals,AVERAGE of Blocks,AVERAGE of 3 Pointers Made,AVERAGE of 3 Pointers Attempted
Joel Embiid,34.2,35.1,11.2,5.8,1.2,1.8,1.2,3.4
Luka Doncic,37.6,34.2,8.5,9.4,1.4,0.6,3.9,10.3
Giannis Antetokounmpo,35.7,31.5,11.4,6.4,1.4,1.1,0.5,1.8
Shai Gilgeous-Alexander,34.5,31.4,5.7,6.6,2.3,0.9,1.2,3.5
Donovan Mitchell,35.4,28.4,5.4,6.2,1.9,0.5,3.2,9.2
Kevin Durant,37.0,28.2,6.4,5.8,0.8,1.3,2.3,5.0
Stephen Curry,33.6,28.0,4.5,5.0,0.8,0.3,4.8,11.8
Devin Booker,36.0,28.0,4.9,7.3,0.9,0.4,2.3,5.9
Jalen Brunson,36.0,27.4,3.9,6.5,0.9,0.2,2.7,6.6
De'Aaron Fox,35.6,27.3,4.0,5.3,1.8,0.4,3.0,7.9
Jayson Tatum,35.9,27.0,8.5,4.5,1.0,0.5,3.0,8.3
Trae Young,36.4,26.8,2.7,10.9,1.5,0.2,3.3,8.9
Nikola Jokic,33.7,26.4,12.4,9.0,1.2,0.9,1.0,2.9
Ja Morant,35.9,26.1,5.9,8.8,0.9,0.6,1.5,5.9
Tyrese Maxey,37.3,26.0,3.5,6.4,1.0,0.5,3.1,8.2
Anthony Edwards,34.9,25.3,5.2,5.2,1.1,0.5,2.4,6.3
Anthony Davis,36.1,25.1,12.5,3.9,1.1,2.4,0.4,1.1
Kyrie Irving,33.4,25.1,5.1,5.4,1.4,0.5,2.9,6.9
Damian Lillard,35.5,24.8,4.2,6.8,1.1,0.2,2.9,8.4
LeBron James,34.9,24.7,7.5,7.5,1.3,0.6,2.0,5.3
Desmond Bane,34.5,24.6,4.5,5.3,1.1,0.6,3.3,8.7
Kawhi Leonard,34.6,24.2,6.3,3.7,1.7,0.9,2.3,5.2
Julius Randle,35.5,24.0,9.3,5.0,0.6,0.3,1.7,5.4
LaMelo Ball,32.4,23.9,5.1,8.0,1.8,0.2,3.2,9.0
Lauri Markkanen,32.8,23.7,8.6,1.9,0.9,0.5,3.3,8.2
