Player,Team,Game Date,SUM of Minutes,SUM of Points,SUM of Assists,SUM of Rebounds,SUM of Offensive Rebounds,SUM of Defensive Rebounds,SUM of Steals,SUM of Blocks,SUM of 3 Pointers Attempted,SUM of 3 Pointers Made
A.J. Lawson,Dallas Mavericks,2024-02-05,5,6,0,0,0,0,0,0,0,0
A.J. Lawson,Dallas Mavericks,2024-01-31,15,3,1,2,1,1,0,1,2,0
A.J. Lawson,Dallas Mavericks,2024-01-27,4,2,1,0,0,0,0,0,1,0
A.J. Lawson,Dallas Mavericks,2024-01-24,5,3,1,1,0,1,0,0,2,1
A.J. Lawson,Dallas Mavericks,2024-01-17,5,2,0,0,0,0,0,0,0,0
A.J. Lawson,Dallas Mavericks,2024-01-15,14,3,0,1,1,0,0,1,2,1
A.J. Lawson,Dallas Mavericks,2024-01-13,6,3,1,1,0,1,0,0,1,0
A.J. Lawson,Dallas Mavericks,2024-01-09,5,3,0,2,1,1,0,0,2,1
A.J. Lawson,Dallas Mavericks,2024-01-05,25,14,2,5,1,4,2,0,4,1
A.J. Lawson,Dallas Mavericks,2024-01-03,8,3,0,0,0,0,1,0,1,1
A.J. Lawson,Dallas Mavericks,2023-12-25,5,0,0,1,0,1,0,0,2,0
A.J. Lawson,Dallas Mavericks,2023-12-23,31,17,3,7,3,4,2,0,4,3
A.J. Lawson,Dallas Mavericks,2023-12-22,23,8,1,2,0,2,4,0,1,0
A.J. Lawson,Dallas Mavericks,2023-12-20,1,0,0,0,0,0,0,0,0,0
A.J. Lawson,Dallas Mavericks,2023-12-18,15,6,0,2,1,1,0,0,2,1
A.J. Lawson,Dallas Mavericks,2023-12-14,2,2,0,0,0,0,0,0,0,0
A.J. Lawson,Dallas Mavericks,2023-12-11,14,4,1,1,1,0,0,0,4,0
A.J. Lawson,Dallas Mavericks,2023-12-08,7,2,0,1,0,1,0,0,2,0
A.J. Lawson,Dallas Mavericks,2023-12-06,7,4,0,1,1,0,0,0,0,0
A.J. Lawson,Dallas Mavericks,2023-12-02,19,12,2,0,0,0,0,1,7,3
A.J. Lawson,Dallas Mavericks,2023-12-01,4,1,0,1,0,1,0,0,1,0
Aaron Gordon,Denver Nuggets,2024-02-04,30,12,2,7,3,4,0,0,1,0
Aaron Gordon,Denver Nuggets,2024-02-02,28,18,5,4,2,2,0,0,1,1
Aaron Gordon,Denver Nuggets,2024-01-31,39,16,7,13,4,9,1,4,3,1
Aaron Gordon,Denver Nuggets,2024-01-29,25,8,2,6,2,4,0,1,2,1
Aaron Gordon,Denver Nuggets,2024-01-27,31,18,2,4,2,2,1,0,3,2
Aaron Gordon,Denver Nuggets,2024-01-25,30,12,2,5,1,4,1,0,1,0
Aaron Gordon,Denver Nuggets,2024-01-23,32,9,1,1,0,1,0,2,1,0
Aaron Gordon,Denver Nuggets,2024-01-21,31,11,2,10,3,7,1,3,0,0
Aaron Gordon,Denver Nuggets,2024-01-19,42,2,3,10,2,8,0,1,3,0
Aaron Gordon,Denver Nuggets,2024-01-16,39,16,4,6,3,3,0,0,1,0
Aaron Gordon,Denver Nuggets,2024-01-14,37,20,3,10,1,9,0,0,1,0
Aaron Gordon,Denver Nuggets,2024-01-12,31,15,2,5,3,2,0,0,2,0
Aaron Gordon,Denver Nuggets,2024-01-10,29,12,4,5,2,3,1,0,2,2
Aaron Gordon,Denver Nuggets,2024-01-07,20,8,1,1,1,0,1,0,0,0
Aaron Gordon,Denver Nuggets,2024-01-05,36,16,3,8,3,5,0,0,4,2
Aaron Gordon,Denver Nuggets,2024-01-04,35,30,2,9,5,4,0,1,4,2
