Team,AVERAGE of Points Scored,AVERAGE of Points Allowed,AVERAGE of Total Rebounds,AVERAGE of Offensive Rebounds,AVERAGE of Defensive Rebounds,AVERAGE of Assists,AVERAGE of Field Goals Made,AVERAGE of Field Goals Attempted,AVERAGE of Three Pointed Attempted,AVERAGE of Points in the Paint,AVERAGE of Fast Break Points,AVERAGE of Steals,AVERAGE of Blocks,AVERAGE of Turnovers,AVERAGE of Team Turnovers,AVERAGE of Total Turnovers
Atlanta Hawks,121.5,118.3,44.9,13.3,31.6,26.2,43.8,94.0,38.1,52.0,14.3,7.9,4.4,12.9,0.8,13.6
Boston Celtics,120.0,115.4,47.3,10.9,36.4,25.8,43.0,90.4,42.9,45.6,15.2,6.4,6.6,12.0,0.6,12.6
Brooklyn Nets,114.3,115.3,45.2,11.9,33.3,26.6,42.1,91.0,37.9,48.6,14.2,6.8,5.5,11.9,0.8,12.7
Charlotte Hornets,109.1,117.6,40.9,10.4,30.5,25.0,41.0,89.1,33.0,49.9,13.0,6.7,4.9,13.0,0.7,13.6
Chicago Bulls,111.0,116.7,43.4,11.0,32.4,24.4,41.5,89.4,32.7,46.9,12.6,7.8,5.2,11.8,0.6,12.4
Cleveland Cavaliers,114.5,114.9,45.0,10.7,34.3,26.9,42.6,88.6,36.9,51.3,16.1,7.8,4.6,12.9,0.7,13.6
Dallas Mavericks,117.7,116.2,41.3,10.1,31.2,25.3,42.3,89.6,40.4,45.7,14.9,6.6,4.4,12.1,0.4,12.5
Denver Nuggets,114.7,115.9,44.0,10.9,33.1,28.7,43.8,88.6,31.1,53.5,12.9,6.8,5.5,11.6,0.9,12.5
Detroit Pistons,112.6,114.6,43.3,11.0,32.2,26.3,42.0,88.6,31.2,51.5,14.3,5.9,5.0,15.1,0.6,15.8
Golden State Warriors,118.6,117.5,46.5,12.3,34.2,28.3,42.9,91.0,39.6,47.0,11.2,6.6,4.0,14.0,0.6,14.6
Houston Rockets,113.4,116.0,45.3,10.5,34.8,25.1,41.5,89.7,34.2,50.9,14.4,7.5,4.4,12.2,0.5,12.7
Indiana Pacers,124.2,118.4,41.2,10.3,30.9,30.8,46.7,92.9,36.5,56.7,16.3,7.7,5.9,12.9,0.5,13.5
LA Clippers,118.3,115.4,43.3,10.4,32.9,26.1,43.3,87.5,33.3,51.2,14.8,8.1,5.3,12.1,0.9,13.0
Los Angeles Lakers,116.5,118.2,43.4,8.5,34.9,28.3,43.2,87.6,30.4,55.4,17.8,7.8,5.5,13.7,0.5,14.2
Memphis Grizzlies,107.2,114.4,42.4,10.3,32.0,25.0,38.8,88.6,39.2,45.4,12.2,7.8,6.3,14.0,0.8,14.8
Miami Heat,110.0,116.8,42.2,9.7,32.5,25.7,39.2,85.5,33.0,46.1,12.2,7.2,3.3,12.3,0.8,13.2
Milwaukee Bucks,123.2,111.4,43.9,9.4,34.5,26.8,44.4,89.6,37.5,49.4,13.4,6.8,5.2,12.5,0.4,12.9
Minnesota Timberwolves,112.6,114.8,44.0,9.1,35.0,26.1,40.9,84.0,31.6,51.1,12.4,7.4,5.9,14.2,0.8,15.1
New Orleans Pelicans,116.6,114.0,44.5,11.1,33.5,26.8,42.9,88.2,32.1,52.0,13.8,8.2,4.7,12.6,0.6,13.2
New York Knicks,114.9,111.1,46.6,12.8,33.8,24.0,41.7,89.2,35.5,49.7,14.7,7.3,4.0,12.4,0.9,13.3
Oklahoma City Thunder,120.8,111.3,41.5,8.8,32.8,27.3,44.7,89.3,34.1,53.8,15.3,8.4,6.6,11.7,0.9,12.6
Orlando Magic,111.7,113.9,42.9,11.2,31.8,24.7,40.5,86.3,31.0,52.4,13.2,8.3,5.3,13.6,0.8,14.5
Philadelphia 76ers,118.4,115.6,43.1,11.2,31.9,24.7,42.1,89.2,31.4,52.0,16.3,8.9,5.9,11.3,0.7,12.0
Phoenix Suns,117.4,114.8,43.3,10.0,33.3,26.8,42.6,85.5,31.6,48.7,13.5,7.2,6.0,14.2,0.9,15.0
Portland Trail Blazers,108.1,118.4,41.4,12.0,29.5,22.7,39.3,89.6,33.9,44.8,12.5,7.8,4.6,14.0,0.9,14.9
Sacramento Kings,118.1,112.0,43.0,10.4,32.5,28.5,43.6,91.0,40.3,51.1,13.2,7.3,3.9,12.8,0.6,13.4
San Antonio Spurs,112.6,116.9,43.5,10.4,33.1,29.4,42.1,91.2,36.4,51.1,15.6,7.3,6.2,14.4,0.4,14.8
Toronto Raptors,114.3,116.2,43.4,11.2,32.2,29.5,42.9,89.7,32.9,53.8,17.8,7.5,4.9,12.9,0.6,13.5
Utah Jazz,118.0,116.8,46.8,12.7,34.1,28.4,42.8,90.7,36.9,54.4,14.4,6.6,6.0,15.1,0.7,15.9
Washington Wizards,114.5,115.6,40.4,9.2,31.2,27.8,43.2,90.8,33.7,56.0,16.9,7.8,5.4,13.4,0.4,13.8
