Team,Game Date,Opponent,SUM of Points Scored,SUM of Points Allowed,SUM of Assists,SUM of Total Rebounds,SUM of Offensive Rebounds,SUM of Defensive Rebounds,SUM of Steals,SUM of Blocks,SUM of Three Pointed Attempted,SUM of Three Pointers Made,SUM of Points in the Paint,SUM of Fast Break Points,SUM of Turnovers,SUM of Team Turnovers,SUM of Total Turnovers
Atlanta Hawks,2024-02-05,LA Clippers,144,149,35,39,13,26,5,4,39,20,56,11,11,0,11
Atlanta Hawks,2024-02-03,Golden State Warriors,141,134,27,57,16,41,5,4,43,14,72,18,8,0,8
Atlanta Hawks,2024-02-02,Phoenix Suns,129,120,29,43,12,31,7,4,44,17,58,9,9,1,10
Atlanta Hawks,2024-01-30,Los Angeles Lakers,138,122,32,46,12,34,10,2,38,16,68,26,12,0,12
Atlanta Hawks,2024-01-28,Toronto Raptors,126,125,27,51,20,31,7,4,27,6,76,8,14,0,14
Atlanta Hawks,2024-01-26,Dallas Mavericks,143,148,32,36,12,24,7,2,34,15,60,16,7,0,7
Atlanta Hawks,2024-01-24,Golden State Warriors,112,134,30,45,13,32,7,2,43,14,42,12,10,1,11
Atlanta Hawks,2024-01-22,Sacramento Kings,107,122,19,50,13,37,2,7,40,14,40,7,12,0,12
Atlanta Hawks,2024-01-20,Cleveland Cavaliers,95,131,25,45,11,34,5,4,38,11,44,11,11,0,11
Atlanta Hawks,2024-01-19,Miami Heat,109,109,23,38,9,29,6,2,35,15,42,9,13,2,15
Atlanta Hawks,2024-01-17,Orlando Magic,106,124,21,41,10,31,8,2,25,8,58,11,23,0,23
Atlanta Hawks,2024-01-15,San Antonio Spurs,109,129,24,57,13,44,8,6,38,13,50,8,16,4,20
Atlanta Hawks,2024-01-13,Washington Wizards,99,113,21,50,16,34,9,7,40,11,36,8,14,2,16
Atlanta Hawks,2024-01-12,Indiana Pacers,108,93,25,28,12,16,14,2,30,11,48,14,14,1,15
Atlanta Hawks,2024-01-10,Philadelphia 76ers,139,104,32,55,16,39,6,8,34,12,64,15,12,1,13
Atlanta Hawks,2024-01-07,Orlando Magic,110,100,21,50,8,42,9,10,30,9,60,15,12,1,13
Atlanta Hawks,2024-01-05,Indiana Pacers,116,124,21,39,14,25,6,3,42,10,58,23,14,0,14
Atlanta Hawks,2024-01-03,Oklahoma City Thunder,141,130,30,49,15,34,8,5,39,14,52,23,11,2,13
Atlanta Hawks,2023-12-29,Sacramento Kings,110,104,29,51,18,33,9,4,43,15,40,11,15,0,15
Atlanta Hawks,2023-12-26,Chicago Bulls,113,117,24,40,12,28,6,3,45,13,52,7,15,1,16
